post_id,title,permalink,edit_url,status,dead_images,live_images,suppressed_captions,bucket,sample_dead_url
67156,"Metallica WorldWired Tour with Avenged Sevenfold and Gojira",http://vancouverweekly-local.local/metallica-worldwired-tour-with-avenged-sevenfold-and-gojira58100-2/,http://vancouverweekly-local.local/wp-admin/post.php?post=67156&action=edit,publish,255,0,0,jig_noscript,https://web.archive.org/web/20170824200950im_/https://scontent.xx.fbcdn.net/v/t31.0-8/21013926_1286562204786389_1739881357882950138_o.jpg?oh=13bf323f72a53d682aeabbf3b40543a5&amp;oe=5A124D29
67792,"Photos: Punk in Drublic | PNE Amphitheatre | Vancouver",http://vancouverweekly-local.local/photos-punk-in-drublic-pne-amphitheatre-vancouver-66528-2/,http://vancouverweekly-local.local/wp-admin/post.php?post=67792&action=edit,publish,133,0,0,jig_noscript,https://web.archive.org/web/20190825001316im_/http://vancouverweekly-local.local/wp-content/uploads/2019/07/RLJ_7137-1024x684.jpg
67837,"Photos: Sunfest 2019 | Laketown Ranch",http://vancouverweekly-local.local/photos-sunfest-2019-laketown-ranch-67154-2/,http://vancouverweekly-local.local/wp-admin/post.php?post=67837&action=edit,publish,125,0,0,jig_noscript,https://web.archive.org/web/20190825005045im_/http://vancouverweekly-local.local/wp-content/uploads/2019/08/Washboard-Union-at-Sunfest-Aug.-2-2019-by-Tom-Paillé-2155-1024x683.jpg
67475,"Photo highlights of Rifflandia Music Festival 2017 in Victoria",http://vancouverweekly-local.local/photo-highlights-of-rifflandia-music-festival-2017-in-victoria58436-2/,http://vancouverweekly-local.local/wp-admin/post.php?post=67475&action=edit,publish,110,0,0,jig_noscript,https://web.archive.org/web/20171003145201im_/https://scontent.xx.fbcdn.net/v/t31.0-8/p960x960/21768773_1317482128361063_3916004923470892557_o.jpg?oh=e75742c1eec0b4a9a396c162dc83b86e&amp;oe=5A40E5C9
68924,"Weird Al | ‘Strings Attached Tour’ | Queen Elizabeth Theatre",http://vancouverweekly-local.local/weird-al-strings-attached-tour-queen-elizabeth-theatre-weird-al-strings-attached-tour-queen-elizabeth-theatre-photos-weird-al-strings-attached-tour-queen-elizabeth-theatre/,http://vancouverweekly-local.local/wp-admin/post.php?post=68924&action=edit,publish,103,0,0,jig_noscript,https://web.archive.org/web/20190921233919im_/http://vancouverweekly-local.local/wp-content/uploads/2019/08/RLJ_5140-1024x314.jpg
67891,"Photos: Truck Stop Concert Series 2019 | Red Truck Brewery",http://vancouverweekly-local.local/photos-truck-stop-concert-series-2019-red-truck-brewery-66773-2/,http://vancouverweekly-local.local/wp-admin/post.php?post=67891&action=edit,publish,101,0,0,jig_noscript,https://web.archive.org/web/20190825000926im_/http://vancouverweekly-local.local/wp-content/uploads/2019/07/RLJ_0262-1024x672.jpg
67570,"Photos: Dog Day Of Summer 2019 | Nat Bailey Stadium",http://vancouverweekly-local.local/photos-dog-day-of-summer-2019-nat-bailey-stadium-65989-2/,http://vancouverweekly-local.local/wp-admin/post.php?post=67570&action=edit,publish,95,0,0,jig_noscript,https://web.archive.org/web/20190722134831im_/http://vancouverweekly-local.local/wp-content/uploads/2019/06/RLJ_2489-1-1024x684.jpg
66382,"HELL YEAH & Nonpoint | A Celebration Of The Life Of Vinnie Paul at Imperial",http://vancouverweekly-local.local/hell-yeah-nonpoint-a-celebration-of-the-life-of-vinnie-paul-at-imperial-69436-2/,http://vancouverweekly-local.local/wp-admin/post.php?post=66382&action=edit,publish,85,0,0,jig_noscript,https://web.archive.org/web/20191214003358im_/http://vancouverweekly-local.local/wp-content/uploads/2019/12/RLJ_2475.jpg
67919,"Photos: YES with guest Todd Rundgren at The Queen Elizabeth Theatre in Vancouver",http://vancouverweekly-local.local/photos-yes-with-guest-todd-rundgren-at-the-queen-elizabeth-theatre-in-vancouver58236-2/,http://vancouverweekly-local.local/wp-admin/post.php?post=67919&action=edit,publish,85,0,0,jig_noscript,https://web.archive.org/web/20170916235221im_/https://scontent.xx.fbcdn.net/v/t31.0-8/21743554_1305503382892271_8531673579483164877_o.jpg?oh=bf35b7decbc1e92bd5cc4d008286a740&amp;oe=5A417B9E
67505,"Photos: Back Street Boys : DNA World Tour 2019 | Rogers Arena",http://vancouverweekly-local.local/photos-back-street-boys-dna-world-tour-2019-rogers-arena-66862-2/,http://vancouverweekly-local.local/wp-admin/post.php?post=67505&action=edit,publish,85,0,0,jig_noscript,https://web.archive.org/web/20190807101749im_/http://vancouverweekly-local.local/wp-content/uploads/2019/07/RLJ_1817_1-1024x684.jpg
67892,"Photos: Truck Stop Concert Series at Red Truck Brewery with Lee Fields & guests",http://vancouverweekly-local.local/photos-truck-stop-concert-series-at-red-truck-brewery-with-lee-fields-guests58091-2/,http://vancouverweekly-local.local/wp-admin/post.php?post=67892&action=edit,publish,81,0,0,jig_noscript,https://web.archive.org/web/20170824201019im_/https://scontent.xx.fbcdn.net/v/t31.0-8/20901498_1286545088121434_4846270384989671655_o.jpg?oh=1e8aebf367b1049b983b890249f81916&amp;oe=5A297E91
67589,"Photos: Gogol Bordello @ The Commodore Ballroom",http://vancouverweekly-local.local/photos-gogol-bordello-the-commodore-ballroom-60096-2/,http://vancouverweekly-local.local/wp-admin/post.php?post=67589&action=edit,publish,78,0,0,jig_noscript,https://web.archive.org/web/20180226084311im_/https://scontent.xx.fbcdn.net/v/t1.0-9/27973252_1448798378562770_6407892056479837449_n.jpg?oh=65c0b39becf57e287d8ee58b956bf9e7&amp;oe=5B4D4CB6
67786,"Photos: Pink “Beutiful Truama” Tour 2019 | Rogers Arena",http://vancouverweekly-local.local/photos-pink-beutiful-truama-tour-2019-rogers-arena-64161-2/,http://vancouverweekly-local.local/wp-admin/post.php?post=67786&action=edit,publish,78,0,0,jig_noscript,https://web.archive.org/web/20191018172141im_/http://vancouverweekly-local.local/wp-content/uploads/2019/04/RLJ_8090-1024x684.jpg
